Experience,Qualifications,Skills,Prior Job Title,Req1_Experience,Req2_Education,Req3_CoreSkill,Req4_AIML,Req5_CrossFunctional,Req6_Technical,Req7_TitleAndAI,Total_Score,Fit_Label
1 Years,BA Fine Arts,"Collaboration, A/B Testing, Negotiation, Excel, Salesforce, Public Speaking",Business Analyst,Gap,Gap,Gap,Gap,Partial,Partial,Gap,2,Likely Not a Fit
1 Years,M.Eng Software Engineering,"UX Research, Data Analysis, Public Speaking, Product Strategy",Software Engineer,Gap,Met,Met,Gap,Gap,Met,Gap,6,Needs Review
5 Years,Bachelor of Hospitality Management,"Negotiation, Confluence, Agile, Project Management, Team Leadership, Scrum",Sales Executive,Partial,Gap,Partial,Gap,Met,Gap,Gap,4,Likely Not a Fit
5 Years,Diploma in Information Technology,"Product Design, Salesforce, Stakeholder Management, Google Analytics, Business Intelligence, Agile",Associate Product Manager,Partial,Partial,Partial,Partial,Met,Gap,Partial,7,Needs Review
6 Years,M.Eng Software Engineering,"Confluence, Product Strategy, Data Analysis, Customer Research, A/B Testing, AI",Product Manager,Partial,Met,Met,Met,Gap,Met,Met,11,Strong Fit
6 Years,B.Sc Physics,"Collaboration, Data Analytics, UX Research, Product Strategy, Negotiation, Market Research",Sales Executive,Partial,Partial,Met,Partial,Partial,Gap,Gap,6,Needs Review
2 Years,B.Sc Mathematics,"Python, Collaboration, Product Strategy, Roadmapping, Google Analytics, UX Research, A/B Testing, Data Science",Data Engineer,Gap,Partial,Met,Met,Partial,Met,Partial,9,Needs Review
1 Years,B.A. History,"Stakeholder Management, Machine Learning, UX Research, JIRA, Project Management, Customer Research, Excel",Associate Product Manager,Gap,Gap,Partial,Met,Met,Partial,Met,8,Needs Review
4 Years,Diploma in Culinary Arts,"Market Research, UX Research, Statistics, Collaboration",UX Designer,Gap,Gap,Gap,Partial,Partial,Gap,Gap,2,Likely Not a Fit
5 Years,M.Eng Software Engineering,"Product Management, Public Speaking, Team Leadership, Google Analytics",Group Product Manager,Partial,Met,Met,Gap,Met,Gap,Partial,8,Needs Review
0 Years,Diploma in Culinary Arts,"Negotiation, Scrum, Product Design",Group Product Manager,Gap,Gap,Partial,Gap,Gap,Gap,Partial,2,Likely Not a Fit
5 Years,M.Eng Software Engineering,"Google Analytics, Product Management, Salesforce, JIRA, Excel, Artificial Intelligence, Stakeholder Management, Scrum",Data Analyst,Partial,Met,Met,Met,Met,Partial,Partial,11,Strong Fit
5 Years,B.Sc Physics,"Market Research, SQL, Machine Learning, Communication, Google Analytics, JIRA, Salesforce",Software Engineer,Partial,Partial,Gap,Met,Partial,Met,Partial,8,Needs Review
7 Years,B.A. Literature,"Communication, Market Research, Roadmapping, Product Strategy, Data Science",Project Coordinator,Partial,Gap,Met,Met,Partial,Gap,Partial,7,Needs Review
8 Years,Diploma in Information Technology,"Stakeholder Management, Tableau, Public Speaking, Negotiation, JIRA, Product Design",UX Designer,Met,Partial,Partial,Gap,Met,Partial,Gap,7,Needs Review
2 Years,B.Sc Mathematics,"Project Management, Negotiation, Scrum, SQL, ML, JIRA, Roadmapping",Data Scientist,Gap,Partial,Partial,Met,Gap,Met,Partial,7,Needs Review
7 Years,B.A. History,"Market Research, Collaboration, UX Research",Data Engineer,Partial,Gap,Gap,Gap,Partial,Gap,Gap,2,Likely Not a Fit
10 Years,B.Sc Computer Science,"Market Research, Team Leadership, Artificial Intelligence, Product Strategy, Agile, Python",Group Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
9 Years,B.Eng Industrial Engineering,"Team Leadership, Public Speaking, Product Management, ML, Roadmapping",Group Product Manager,Met,Met,Met,Met,Met,Gap,Met,12,Strong Fit
2 Years,BA Fine Arts,"UX Research, Business Intelligence, Salesforce",Marketing Manager,Gap,Gap,Gap,Partial,Gap,Gap,Gap,1,Likely Not a Fit
7 Years,B.Sc Mathematics,"ML, Team Leadership, Google Analytics, Confluence, Product Design, Customer Research, Data Analysis",Senior Product Manager,Partial,Partial,Partial,Met,Met,Met,Met,11,Strong Fit
3 Years,B.Sc Mathematics,"JIRA, SQL, A/B Testing, Product Strategy, Statistics, Google Analytics, Scrum",Software Engineer,Gap,Partial,Met,Partial,Gap,Met,Gap,6,Needs Review
4 Years,B.Com Economics,"Statistics, Project Management, JIRA, Tableau, Stakeholder Management, UX Research",Product Manager,Gap,Partial,Partial,Partial,Met,Partial,Partial,7,Needs Review
11 Years,M.A. Economics,"Project Management, Roadmapping, Tableau, Team Leadership, Scrum, JIRA, Machine Learning, A/B Testing",Senior Product Manager,Met,Partial,Partial,Met,Met,Partial,Met,11,Strong Fit
7 Years,B.Sc Mathematics,"Team Leadership, Product Management, Data Analysis, Public Speaking, Data Analytics, Agile",Group Product Manager,Partial,Partial,Met,Partial,Met,Met,Partial,10,Needs Review
1 Years,B.A. History,"Public Speaking, Agile, Product Design, Scrum",Customer Success Manager,Gap,Gap,Partial,Gap,Gap,Gap,Gap,1,Likely Not a Fit
14 Years,M.Tech Computer Science,"Salesforce, Agile, Data Science, Product Design, Communication, SQL, Negotiation",Senior Product Manager,Met,Met,Partial,Met,Partial,Met,Met,12,Strong Fit
12 Years,MBA,"Customer Research, Collaboration, SQL, Scrum",Product Manager,Met,Met,Gap,Gap,Partial,Met,Partial,8,Needs Review
2 Years,BA Fine Arts,"Customer Research, Salesforce, Power BI, Confluence",Customer Success Manager,Gap,Gap,Gap,Gap,Gap,Partial,Gap,1,Likely Not a Fit
2 Years,Diploma in Culinary Arts,"Power BI, Scrum, Agile",Data Analyst,Gap,Gap,Gap,Gap,Gap,Partial,Gap,1,Likely Not a Fit
6 Years,BA Fine Arts,"Product Management, A/B Testing, Google Analytics, Data Analytics, JIRA, Team Leadership",Technical Product Manager,Partial,Gap,Met,Partial,Met,Gap,Partial,7,Needs Review
11 Years,MBA Business Administration,"Market Research, Product Strategy, Google Analytics, Data Analysis, Team Leadership",Senior Product Manager,Met,Met,Met,Gap,Met,Met,Partial,11,Strong Fit
11 Years,M.Sc Data Science,"ML, Negotiation, Public Speaking, Product Management, JIRA, Customer Research",Group Product Manager,Met,Met,Met,Met,Gap,Gap,Met,10,Needs Review
6 Years,M.Eng Software Engineering,"Confluence, Statistics, Product Design, Roadmapping, Negotiation",Operations Manager,Partial,Met,Partial,Partial,Gap,Gap,Gap,5,Likely Not a Fit
3 Years,B.A. History,"Confluence, Data Analysis, A/B Testing, Agile, Salesforce",UX Designer,Gap,Gap,Gap,Gap,Gap,Met,Gap,2,Likely Not a Fit
7 Years,B.Sc Computer Science,"Roadmapping, Collaboration, Public Speaking, Product Strategy, Python, Data Science",Group Product Manager,Partial,Met,Met,Met,Partial,Met,Met,12,Strong Fit
8 Years,B.Tech Computer Science,"A/B Testing, Market Research, AI, UX Research, Data Analysis, Team Leadership, Product Management",Group Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
11 Years,BA Sociology,"Python, Google Analytics, Collaboration, Salesforce, Product Strategy",Senior Product Manager,Met,Gap,Met,Gap,Partial,Met,Partial,8,Needs Review
9 Years,MBA,"SQL, UX Research, Roadmapping, Product Management, Collaboration",Technical Product Manager,Met,Met,Met,Gap,Partial,Met,Partial,10,Needs Review
1 Years,Bachelor of Hospitality Management,"Negotiation, Public Speaking, Customer Research, Collaboration, Roadmapping",Business Analyst,Gap,Gap,Gap,Gap,Partial,Gap,Gap,1,Likely Not a Fit
9 Years,MBA,"Product Strategy, ML, Stakeholder Management, Python, Negotiation, Google Analytics, UX Research, JIRA",Senior Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
10 Years,B.A. History,"Customer Research, Product Design, ML, Team Leadership, Scrum, Data Analysis",Technical Product Manager,Met,Gap,Partial,Met,Met,Met,Met,11,Strong Fit
0 Years,B.Eng Industrial Engineering,"Team Leadership, Business Intelligence, JIRA, Market Research, Tableau",Associate Product Manager,Gap,Met,Gap,Partial,Met,Partial,Partial,7,Needs Review
14 Years,M.Eng Software Engineering,"Product Design, A/B Testing, Confluence, Collaboration, Excel, Data Analytics",Group Product Manager,Met,Met,Partial,Partial,Partial,Partial,Partial,9,Needs Review
7 Years,B.A. History,"Public Speaking, Customer Research, Scrum",Data Scientist,Partial,Gap,Gap,Gap,Gap,Gap,Gap,1,Likely Not a Fit
5 Years,B.A. Literature,"Project Management, Google Analytics, JIRA, Communication, Power BI, ML, Agile",Technical Product Manager,Partial,Gap,Partial,Met,Partial,Partial,Met,8,Needs Review
1 Years,B.Sc Mathematics,"A/B Testing, JIRA, ML, Collaboration, Product Strategy",Technical Product Manager,Gap,Partial,Met,Met,Partial,Gap,Met,8,Needs Review
8 Years,M.Sc Data Science,"Data Analytics, Python, Market Research, Confluence, Product Management, Communication",Data Analyst,Met,Met,Met,Partial,Partial,Met,Gap,10,Needs Review
12 Years,B.Sc Mathematics,"Public Speaking, Salesforce, Confluence, Statistics, Google Analytics, Project Management, Collaboration, Python",Marketing Manager,Met,Partial,Partial,Partial,Partial,Met,Gap,8,Needs Review
8 Years,B.Tech Computer Science,"Confluence, Stakeholder Management, Project Management, Google Analytics, Market Research, Machine Learning, Agile",Project Coordinator,Met,Met,Partial,Met,Met,Gap,Partial,10,Needs Review
5 Years,B.Com Economics,"Tableau, ML, Salesforce, Collaboration, Product Strategy, JIRA, Market Research",UX Designer,Partial,Partial,Met,Met,Partial,Partial,Partial,9,Needs Review
7 Years,M.Tech Computer Science,"Google Analytics, Public Speaking, SQL, Collaboration, Product Strategy, Data Analytics",Software Engineer,Partial,Met,Met,Partial,Partial,Met,Gap,9,Needs Review
11 Years,B.A. History,"ML, Product Design, Roadmapping, Market Research, Tableau, Google Analytics",Operations Manager,Met,Gap,Partial,Met,Gap,Partial,Partial,7,Needs Review
4 Years,MBA,"Stakeholder Management, Public Speaking, Negotiation, AI, Product Strategy, Scrum, Agile, Tableau",Business Analyst,Gap,Met,Met,Met,Met,Partial,Partial,10,Needs Review
7 Years,M.Sc Statistics,"Agile, Customer Research, Communication, Product Strategy, SQL, Statistics, UX Research",Technical Product Manager,Partial,Partial,Met,Partial,Partial,Met,Partial,9,Needs Review
15 Years,M.Eng Software Engineering,"Public Speaking, A/B Testing, Data Science, Customer Research, Communication, Confluence, SQL, Product Strategy",Associate Product Manager,Met,Met,Met,Met,Partial,Met,Met,13,Strong Fit
0 Years,B.A. History,"UX Research, Google Analytics, Communication, Data Analytics, Public Speaking, Scrum",Sales Executive,Gap,Gap,Gap,Partial,Partial,Gap,Gap,2,Likely Not a Fit
11 Years,Diploma in Information Technology,"Project Management, Excel, Market Research, Artificial Intelligence, JIRA",Marketing Manager,Met,Partial,Partial,Met,Gap,Partial,Partial,8,Needs Review
11 Years,B.Com Economics,"Artificial Intelligence, Scrum, Confluence, Market Research, Stakeholder Management, Google Analytics, Product Management, SQL",Technical Product Manager,Met,Partial,Met,Met,Met,Met,Met,13,Strong Fit
9 Years,M.Sc Data Science,"SQL, Data Science, Stakeholder Management, Product Strategy, A/B Testing, Salesforce, UX Research",Data Engineer,Met,Met,Met,Met,Met,Met,Partial,13,Strong Fit
6 Years,B.Eng Industrial Engineering,"Data Analysis, Salesforce, Collaboration, Customer Research, Product Strategy, JIRA",Group Product Manager,Partial,Met,Met,Gap,Partial,Met,Partial,9,Needs Review
7 Years,M.Eng Software Engineering,"Scrum, Google Analytics, Project Management, Stakeholder Management, Confluence, Market Research, Artificial Intelligence",Business Analyst,Partial,Met,Partial,Met,Met,Gap,Partial,9,Needs Review
4 Years,M.Tech Computer Science,"Product Design, JIRA, Scrum, Market Research",Data Engineer,Gap,Met,Partial,Gap,Gap,Gap,Gap,3,Likely Not a Fit
5 Years,MBA,"Google Analytics, Communication, UX Research, Product Strategy, A/B Testing, Excel",Senior Product Manager,Partial,Met,Met,Gap,Partial,Partial,Partial,8,Needs Review
5 Years,MBA,"Collaboration, Power BI, Confluence, Product Design, JIRA, UX Research, Agile",Data Engineer,Partial,Met,Partial,Gap,Partial,Partial,Gap,6,Needs Review
11 Years,MBA,"Business Intelligence, Stakeholder Management, Confluence, JIRA, SQL, Google Analytics, Salesforce, Product Strategy",Project Coordinator,Met,Met,Met,Partial,Met,Met,Gap,11,Strong Fit
6 Years,M.Tech Computer Science,"Project Management, Negotiation, Team Leadership, Public Speaking, Scrum, SQL, Data Science",Project Coordinator,Partial,Met,Partial,Met,Met,Met,Partial,11,Strong Fit
11 Years,MBA,"Market Research, Product Management, Machine Learning, SQL, Team Leadership, Customer Research",Associate Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
6 Years,MBA,"Agile, Excel, Team Leadership, Product Design, AI, Market Research, JIRA, Salesforce",Senior Product Manager,Partial,Met,Partial,Met,Met,Partial,Met,11,Strong Fit
13 Years,BA Fine Arts,"AI, Communication, Customer Research, Negotiation, Google Analytics, Scrum",Customer Success Manager,Met,Gap,Gap,Met,Partial,Gap,Partial,6,Needs Review
7 Years,B.A. History,"SQL, Market Research, JIRA, Product Strategy, Data Analytics, Team Leadership",Associate Product Manager,Partial,Gap,Met,Partial,Met,Met,Partial,9,Needs Review
12 Years,B.Eng Industrial Engineering,"Python, Roadmapping, Artificial Intelligence, Product Design, A/B Testing, Salesforce, Collaboration, Scrum",Group Product Manager,Met,Met,Partial,Met,Partial,Met,Met,12,Strong Fit
1 Years,M.Sc Data Science,"Data Analytics, Collaboration, Public Speaking, Tableau, JIRA",Customer Success Manager,Gap,Met,Gap,Partial,Partial,Partial,Gap,5,Likely Not a Fit
7 Years,BA Sociology,"Project Management, Roadmapping, Negotiation, Statistics, Stakeholder Management, UX Research, Python",Associate Product Manager,Partial,Gap,Partial,Partial,Met,Met,Partial,8,Needs Review
12 Years,Diploma in Information Technology,"Data Analysis, ML, Team Leadership, Project Management, Scrum, Market Research",Group Product Manager,Met,Partial,Partial,Met,Met,Met,Met,12,Strong Fit
7 Years,M.Sc Data Science,"Market Research, Tableau, Collaboration, Data Analytics, Project Management, A/B Testing",Product Manager,Partial,Met,Partial,Partial,Partial,Partial,Partial,8,Needs Review
7 Years,B.Sc Mathematics,"Project Management, JIRA, Stakeholder Management, Public Speaking, SQL",Data Scientist,Partial,Partial,Partial,Gap,Met,Met,Gap,7,Needs Review
6 Years,Diploma in Information Technology,"ML, A/B Testing, Team Leadership, Python, Salesforce",UX Designer,Partial,Partial,Gap,Met,Met,Met,Partial,9,Needs Review
4 Years,Diploma in Culinary Arts,"Roadmapping, Agile, JIRA, Google Analytics",Data Engineer,Gap,Gap,Gap,Gap,Gap,Gap,Gap,0,Likely Not a Fit
5 Years,B.Tech Computer Science,"Team Leadership, Project Management, Agile, Data Analytics, SQL, UX Research",Associate Product Manager,Partial,Met,Partial,Partial,Met,Met,Partial,10,Needs Review
10 Years,Diploma in Information Technology,"Project Management, Business Intelligence, Communication, Market Research, Excel, Confluence, Roadmapping",Customer Success Manager,Met,Partial,Partial,Partial,Partial,Partial,Gap,7,Needs Review
9 Years,M.Sc Data Science,"Product Strategy, Confluence, Negotiation, AI, JIRA, Stakeholder Management, Python",Group Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
1 Years,Diploma in Information Technology,"Agile, Google Analytics, Scrum, Roadmapping",Data Engineer,Gap,Partial,Gap,Gap,Gap,Gap,Gap,1,Likely Not a Fit
10 Years,M.Eng Software Engineering,"Team Leadership, AI, Salesforce, Public Speaking, UX Research, Python, Product Management, Market Research",Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
12 Years,MBA Business Administration,"Public Speaking, Roadmapping, Python, Product Management, Data Science, Stakeholder Management",Technical Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
7 Years,B.Sc Physics,"Salesforce, AI, Roadmapping, Python, Team Leadership",Senior Product Manager,Partial,Partial,Gap,Met,Met,Met,Met,10,Needs Review
6 Years,B.Eng Industrial Engineering,"Public Speaking, Collaboration, Roadmapping, Artificial Intelligence, SQL",Senior Product Manager,Partial,Met,Gap,Met,Partial,Met,Met,10,Needs Review
5 Years,MBA Business Administration,"Confluence, JIRA, A/B Testing, Scrum, Product Strategy, AI, Stakeholder Management, Data Analysis",Technical Product Manager,Partial,Met,Met,Met,Met,Met,Met,13,Strong Fit
7 Years,M.A. Economics,"Team Leadership, Roadmapping, Excel, Statistics, A/B Testing",Marketing Manager,Partial,Partial,Gap,Partial,Met,Partial,Gap,6,Needs Review
7 Years,B.A. Literature,"Market Research, SQL, Confluence, Google Analytics, Team Leadership, Statistics, Product Design, Scrum",Business Analyst,Partial,Gap,Partial,Partial,Met,Met,Gap,7,Needs Review
6 Years,B.Tech Computer Science,"Tableau, Negotiation, Product Design, Collaboration, Statistics, Google Analytics, Public Speaking",Data Analyst,Partial,Met,Partial,Partial,Partial,Partial,Gap,7,Needs Review
15 Years,B.Eng Industrial Engineering,"Data Analytics, Salesforce, Product Management, UX Research, Google Analytics, Collaboration",Product Manager,Met,Met,Met,Partial,Partial,Gap,Partial,9,Needs Review
4 Years,M.A. Economics,"Business Intelligence, Team Leadership, Data Analysis, Scrum, Product Strategy, UX Research",Business Analyst,Gap,Partial,Met,Partial,Met,Met,Gap,8,Needs Review
1 Years,B.A. Literature,"Data Analytics, JIRA, Scrum, Agile, Roadmapping",Associate Product Manager,Gap,Gap,Gap,Partial,Gap,Gap,Partial,2,Likely Not a Fit
3 Years,B.Sc Computer Science,"Negotiation, JIRA, Communication, Product Design, Public Speaking, Power BI, UX Research",Technical Product Manager,Gap,Met,Partial,Gap,Partial,Partial,Partial,6,Needs Review
4 Years,BA Fine Arts,"Product Design, UX Research, Scrum",UX Designer,Gap,Gap,Partial,Gap,Gap,Gap,Gap,1,Likely Not a Fit
1 Years,BA Fine Arts,"SQL, Roadmapping, Stakeholder Management, Public Speaking, Customer Research, Data Analytics, Salesforce",Senior Product Manager,Gap,Gap,Gap,Partial,Met,Met,Partial,6,Needs Review
0 Years,BA Fine Arts,"A/B Testing, UX Research, Negotiation, Customer Research",Software Engineer,Gap,Gap,Gap,Gap,Gap,Gap,Gap,0,Likely Not a Fit
10 Years,M.Tech Computer Science,"AI, Scrum, Python, Product Management, Salesforce, Customer Research",Senior Product Manager,Met,Met,Met,Met,Gap,Met,Met,12,Strong Fit
12 Years,B.A. Literature,"Negotiation, Team Leadership, Market Research, Product Management, Salesforce, Python",UX Designer,Met,Gap,Met,Gap,Met,Met,Gap,8,Needs Review
8 Years,M.Tech Computer Science,"Market Research, Data Analysis, Public Speaking, ML, Product Strategy, Team Leadership",Technical Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
